symbol,shortName,longName,marketCap,regularMarketPrice,currency,mcap_cr
GAIL.NS,GAIL (INDIA) LTD,GAIL (India) Limited,1132951896064,172.31,INR,113295.2
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Muthoot Finance Limited,1129933045760,2814.5,INR,112993.3
CIPLA.NS,CIPLA LTD,Cipla Limited,1129807085568,1398.5,INR,112980.7
INDIANB.NS,INDIAN BANK,Indian Bank,1112928944128,826.25,INR,111292.9
PFC.NS,POWER FIN CORP LTD.,Power Finance Corporation Limited,1112629182464,337.15,INR,111262.9
GVT&D.NS,GE VERNOVA T&D INDIA LTD,GE Vernova T&D India Limited,1089298694144,4254.3,INR,108929.9
SBIFUNDS.NS,SBI FUNDS MANAGEMENT LTD,SBI Funds Management Limited,1078805790720,529.65,INR,107880.6
LAURUSLABS.NS,LAURUS LABS LIMITED,Laurus Labs Limited,1075167232000,1989.9,INR,107516.7
PAYTM.NS,ONE 97 COMMUNICATIONS LTD,One97 Communications Limited,1068194332672,1670.6,INR,106819.4
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Hero MotoCorp Limited,1067753275392,5335.0,INR,106775.3
TMPV.NS,TATA MOTORS PASS VEH LTD,Tata Motors Passenger Vehicles Limited,1064568815616,289.05,INR,106456.9
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Aditya Birla Capital Limited,1060348297216,387.3,INR,106034.8
MARICO.NS,MARICO LIMITED,Marico Limited,1052736946176,811.05,INR,105273.7
INDHOTEL.NS,THE INDIAN HOTELS CO. LTD,The Indian Hotels Company Limited,1048789123072,725.0,INR,104878.9
IRFC.NS,INDIAN RAILWAY FIN CORP L,Indian Railway Finance Corporation Limited,1038554169344,79.47,INR,103855.4
VEDL.NS,VEDANTA LIMITED,Vedanta Limited,1035748704256,265.25,INR,103574.9
LLOYDSME.NS,LLOYDS METALS N ENERGY L,Lloyds Metals and Energy Limited,1031487094784,1833.0,INR,103148.7
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,GMR Airports Limited,1027388407808,97.3,INR,102738.8
MANKIND.NS,MANKIND PHARMA LIMITED,Mankind Pharma Limited,1026458386432,2485.1,INR,102645.8
HDFCAMC.NS,HDFC AMC LIMITED,HDFC Asset Management Company Limited,1016603672576,2369.3,INR,101660.4
UNITDSPR.NS,UNITED SPIRITS LIMITED,United Spirits Limited,1011758006272,1424.9,INR,101175.8
MEESHO.NS,MEESHO LIMITED,Meesho Limited,1010970787840,218.48,INR,101097.1
DRREDDY.NS,DR. REDDY S LABORATORIES,Dr. Reddy's Laboratories Limited,999336378368,1199.7,INR,99933.6
MAXHEALTH.NS,MAX HEALTHCARE INS LTD,Max Healthcare Institute Limited,992387137536,1019.6,INR,99238.7
INDUSTOWER.NS,INDUS TOWERS LIMITED,Indus Towers Limited,989478387712,375.2,INR,98947.8
INDIAMART.NS,INDIAMART INTERMESH LTD,IndiaMART InterMESH Limited,981889712128,1632.6,INR,98189.0
AUROPHARMA.NS,AUROBINDO PHARMA LTD,Aurobindo Pharma Limited,980041269248,1703.3,INR,98004.1
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Tata Consumer Products Limited,973657014272,983.8,INR,97365.7
BHARATFORG.NS,BHARAT FORGE LTD,Bharat Forge Limited,974360412160,1993.9,INR,97436.0
