symbol,pole_date,pole_low,pole_high,pole_high_date,pole_gain,flag_bars,flag_end_date,rail,rail_slope_pct,sweep_date,sweep_low,sweep_below_pct,entry_date,entry,stop,target,risk_pct,reward_R,atr,status,bars_since_entry,vol_x20,sweep_bars,sweep_red,sweep_red_frac,sweep_vol_x20,sweep_vol_vs_drift,sweep_close_pos,sweep_leg_pct,turnover_cr,entry_gt_prior_high,entry_gt_flush_high,entry_vs_rail_pct,rebased,rebased_from,R_voided,outcome,R,ret_horizon,mfe,mae,bars_held,R_struct,outcome_struct,bars_held_struct,entry_idx,sweep_idx,flag_end_idx,pole_idx,trigger_mode,exit_date_void,voided_setups,shortName,mcap_cr,watchlist,year,nifty_bull
BDL.NS,2025-05-13,1398.0,1991.5,2025-05-27,0.4245,37,2025-07-17,1793.0,-0.081,2025-08-29,1413.6,-21.16,2025-08-29,1435.7,1385.7,1991.5,3.48,11.12,55.8,DONE,,1.0,30,21,0.7,3.55,5.21,0.61,-4.41,125.37,False,False,-19.93,4,"2025-07-21,2025-07-29,2025-08-04,2025-08-13",-2.58,time,1.04,0.0513,0.1521,-0.0158,60,1.04,time,60.0,1835,1806,1806,1759,first_bullish,,"[Setup(symbol='BDL.NS', pole_date='2025-05-13', pole_low=1398.0, pole_high=1991.5, pole_high_date='2025-05-27', pole_gain=0.4245, flag_bars=37, flag_end_date='2025-07-17', rail=1793.0, rail_slope_pct=-0.081, sweep_date='2025-08-29', sweep_low=1413.6, sweep_below_pct=-21.16, entry_date='2025-07-21', entry=1718.4, stop=1562.22, target=1991.5, risk_pct=9.09, reward_R=1.75, atr=58.76, status='DONE', bars_since_entry=nan, vol_x20=1.04, sweep_bars=30, sweep_red=21, sweep_red_frac=0.7, sweep_vol_x20=3.55, sweep_vol_vs_drift=5.21, sweep_close_pos=0.61, sweep_leg_pct=-4.41, turnover_cr=125.37, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.62, ret_horizon=-0.1476, mfe=0.0097, mae=-0.1774, bars_held=5, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1808, sweep_idx=1806, flag_end_idx=-1, pole_idx=-1), Setup(symbol='BDL.NS', pole_date='2025-05-13', pole_low=1398.0, pole_high=1991.5, pole_high_date='2025-05-27', pole_gain=0.4245, flag_bars=37, flag_end_date='2025-07-17', rail=1793.0, rail_slope_pct=-0.081, sweep_date='2025-08-29', sweep_low=1413.6, sweep_below_pct=-21.16, entry_date='2025-07-29', entry=1623.1, stop=1528.2, target=1991.5, risk_pct=5.85, reward_R=3.88, atr=55.8, status='DONE', bars_since_entry=nan, vol_x20=0.61, sweep_bars=30, sweep_red=21, sweep_red_frac=0.7, sweep_vol_x20=3.55, sweep_vol_vs_drift=5.21, sweep_close_pos=0.61, sweep_leg_pct=-4.41, turnover_cr=125.37, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.61, ret_horizon=-0.0872, mfe=0.019, mae=-0.1291, bars_held=3, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1814, sweep_idx=1806, flag_end_idx=-1, pole_idx=-1), Setup(symbol='BDL.NS', pole_date='2025-05-13', pole_low=1398.0, pole_high=1991.5, pole_high_date='2025-05-27', pole_gain=0.4245, flag_bars=37, flag_end_date='2025-07-17', rail=1793.0, rail_slope_pct=-0.081, sweep_date='2025-08-29', sweep_low=1413.6, sweep_below_pct=-21.16, entry_date='2025-08-04', entry=1587.7, stop=1431.66, target=1991.5, risk_pct=9.83, reward_R=2.59, atr=50.87, status='DONE', bars_since_entry=nan, vol_x20=0.56, sweep_bars=30, sweep_red=21, sweep_red_frac=0.7, sweep_vol_x20=3.55, sweep_vol_vs_drift=5.21, sweep_close_pos=0.61, sweep_leg_pct=-4.41, turnover_cr=125.37, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.57, ret_horizon=0.0232, mfe=0.0418, mae=-0.1097, bars_held=4, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1818, sweep_idx=1806, flag_end_idx=-1, pole_idx=-1), Setup(symbol='BDL.NS', pole_date='2025-05-13', pole_low=1398.0, pole_high=1991.5, pole_high_date='2025-05-27', pole_gain=0.4245, flag_bars=37, flag_end_date='2025-07-17', rail=1793.0, rail_slope_pct=-0.081, sweep_date='2025-08-29', sweep_low=1413.6, sweep_below_pct=-21.16, entry_date='2025-08-13', entry=1591.0, stop=1384.39, target=1991.5, risk_pct=12.99, reward_R=1.94, atr=58.43, status='DONE', bars_since_entry=nan, vol_x20=3.55, sweep_bars=30, sweep_red=21, sweep_red_frac=0.7, sweep_vol_x20=3.55, sweep_vol_vs_drift=5.21, sweep_close_pos=0.61, sweep_leg_pct=-4.41, turnover_cr=125.37, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.78, ret_horizon=-0.0586, mfe=0.0396, mae=-0.1119, bars_held=9, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1825, sweep_idx=1806, flag_end_idx=-1, pole_idx=-1)]",BHARAT DYNAMICS LIMITED,42338.0,False,2025,True
ITI.NS,2025-05-27,255.55,368.7,2025-05-29,0.4428,42,2025-07-28,301.1,-0.155,2025-08-29,280.05,-6.99,2025-08-29,284.15,275.54,368.7,3.03,9.82,9.02,DONE,,0.16,23,16,0.7,44.88,138.33,0.68,-5.2,3.83,False,False,-5.63,2,"2025-07-29,2025-08-04",-1.08,target,9.82,0.1981,0.3122,-0.0076,27,9.82,target,27.0,2385,2363,2363,2319,first_bullish,,"[Setup(symbol='ITI.NS', pole_date='2025-05-27', pole_low=255.55, pole_high=368.7, pole_high_date='2025-05-29', pole_gain=0.4428, flag_bars=42, flag_end_date='2025-07-28', rail=301.1, rail_slope_pct=-0.155, sweep_date='2025-08-29', sweep_low=280.05, sweep_below_pct=-6.99, entry_date='2025-07-29', entry=300.25, stop=281.08, target=368.7, risk_pct=6.38, reward_R=3.57, atr=7.83, status='DONE', bars_since_entry=nan, vol_x20=0.44, sweep_bars=23, sweep_red=16, sweep_red_frac=0.7, sweep_vol_x20=44.88, sweep_vol_vs_drift=138.33, sweep_close_pos=0.68, sweep_leg_pct=-5.2, turnover_cr=3.83, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.51, ret_horizon=0.0235, mfe=0.2418, mae=-0.0673, bars_held=2, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2364, sweep_idx=2363, flag_end_idx=-1, pole_idx=-1), Setup(symbol='ITI.NS', pole_date='2025-05-27', pole_low=255.55, pole_high=368.7, pole_high_date='2025-05-29', pole_gain=0.4428, flag_bars=42, flag_end_date='2025-07-28', rail=301.1, rail_slope_pct=-0.155, sweep_date='2025-08-29', sweep_low=280.05, sweep_below_pct=-6.99, entry_date='2025-08-04', entry=292.55, stop=275.98, target=368.7, risk_pct=5.66, reward_R=4.6, atr=8.15, status='DONE', bars_since_entry=nan, vol_x20=0.75, sweep_bars=23, sweep_red=16, sweep_red_frac=0.7, sweep_vol_x20=44.88, sweep_vol_vs_drift=138.33, sweep_close_pos=0.68, sweep_leg_pct=-5.2, turnover_cr=3.83, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.57, ret_horizon=0.0937, mfe=0.2745, mae=-0.0427, bars_held=16, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2368, sweep_idx=2363, flag_end_idx=-1, pole_idx=-1)]",ITI LTD,24172.4,False,2025,True
DIACABS.NS,2025-06-26,97.7,162.5,2025-07-10,0.6633,33,2025-08-28,143.16,-0.46,2025-08-29,137.24,-4.14,2025-09-01,140.53,134.35,162.5,4.4,3.55,5.79,DONE,,0.61,2,2,1.0,0.7,1.39,0.15,-3.42,33.17,False,False,-1.84,0,,0.0,target,3.55,0.0021,0.1884,-0.0303,14,3.55,target,14.0,2386,2384,2384,2341,first_bullish,,,DIAMOND POWER INFRA LTD,21557.5,False,2025,True
FILATEX.NS,2025-07-01,50.1,63.2,2025-07-10,0.2615,15,2025-07-31,57.1,-0.232,2025-07-31,49.35,-13.57,2025-09-01,52.77,48.57,63.2,7.96,2.48,1.57,DONE,,0.71,0,0,,,,,,58.35,False,False,,0,,0.0,voided,-0.49,0.0171,0.2526,-0.0648,24,,,,2386,2366,-1,-1,first_bullish,2025-10-06,,FILATEX INDIA LTD,4676.8,False,2025,True
CDSL.NS,2025-06-02,1408.0,1828.9,2025-06-10,0.2989,34,2025-07-28,1590.7,0.009,2025-08-29,1421.0,-10.67,2025-09-01,1476.9,1402.41,1828.9,5.04,4.73,37.18,DONE,,0.73,23,15,0.65,2.13,3.42,0.09,-5.69,149.12,True,True,-7.15,2,"2025-07-29,2025-08-04",-0.95,time,1.98,0.0878,0.1333,-0.0182,60,1.98,time,60.0,2018,1995,1995,1955,first_bullish,,"[Setup(symbol='CDSL.NS', pole_date='2025-06-02', pole_low=1408.0, pole_high=1828.9, pole_high_date='2025-06-10', pole_gain=0.2989, flag_bars=34, flag_end_date='2025-07-28', rail=1590.7, rail_slope_pct=0.009, sweep_date='2025-08-29', sweep_low=1421.0, sweep_below_pct=-10.67, entry_date='2025-07-29', entry=1539.7, stop=1439.26, target=1828.9, risk_pct=6.52, reward_R=2.88, atr=47.29, status='DONE', bars_since_entry=nan, vol_x20=0.89, sweep_bars=23, sweep_red=15, sweep_red_frac=0.65, sweep_vol_x20=2.13, sweep_vol_vs_drift=3.42, sweep_close_pos=0.09, sweep_leg_pct=-5.69, turnover_cr=149.12, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.27, ret_horizon=-0.0051, mfe=0.0789, mae=-0.0771, bars_held=1, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1996, sweep_idx=1995, flag_end_idx=-1, pole_idx=-1), Setup(symbol='CDSL.NS', pole_date='2025-06-02', pole_low=1408.0, pole_high=1828.9, pole_high_date='2025-06-10', pole_gain=0.2989, flag_bars=34, flag_end_date='2025-07-28', rail=1590.7, rail_slope_pct=0.009, sweep_date='2025-08-29', sweep_low=1421.0, sweep_below_pct=-10.67, entry_date='2025-08-04', entry=1572.4, stop=1397.1, target=1828.9, risk_pct=11.15, reward_R=1.46, atr=47.81, status='DONE', bars_since_entry=nan, vol_x20=1.73, sweep_bars=23, sweep_red=15, sweep_red_frac=0.65, sweep_vol_x20=2.13, sweep_vol_vs_drift=3.42, sweep_close_pos=0.09, sweep_leg_pct=-5.69, turnover_cr=149.12, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.69, ret_horizon=-0.0022, mfe=0.0565, mae=-0.0963, bars_held=16, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2000, sweep_idx=1995, flag_end_idx=-1, pole_idx=-1)]",CENTRAL DEPO SER (I) LTD,27588.0,False,2025,True
FMGOETZE.NS,2025-06-17,441.65,622.0,2025-07-01,0.4084,30,2025-08-12,522.0,-0.07,2025-08-12,410.0,-21.46,2025-09-01,546.6,444.15,622.0,18.74,0.74,21.5,DONE,,1.71,0,0,,,,,,112.42,False,False,,0,,0.0,voided,-0.56,-0.1227,0.0563,-0.1678,27,,,,2386,2374,-1,-1,rail_reclaim,2025-10-09,,FEDERAL-MOGUL GOETZE (IND,2606.1,False,2025,True
ADFFOODS.NS,2025-06-02,225.01,300.85,2025-06-11,0.3371,15,2025-07-02,269.06,-0.044,2025-07-02,198.12,-26.37,2025-09-01,210.28,196.86,300.85,6.38,6.75,6.47,DONE,,0.79,0,0,,,,,,2.68,False,False,,0,,0.0,voided,-0.71,-0.0515,0.1763,-0.0578,26,,,,2386,2345,-1,-1,first_bullish,2025-10-08,,ADF FOODS LIMITED,2984.4,False,2025,True
SUBROS.NS,2025-06-12,725.0,1083.2,2025-06-17,0.4941,28,2025-07-25,862.4,-0.243,2025-08-11,778.0,-9.79,2025-09-01,921.65,759.63,1083.2,17.58,1.0,36.74,DONE,,2.27,12,7,0.58,2.35,9.67,0.29,-7.36,2.49,True,True,6.87,0,,0.0,target,1.0,0.1249,0.3169,-0.0984,16,1.0,target,16.0,2386,2362,2362,2331,rail_reclaim,,,SUBROS LIMITED,4697.6,False,2025,True
HIRECT.NS,2025-07-29,648.05,1015.0,2025-08-05,0.5662,11,2025-08-21,886.45,0.127,2025-09-01,750.0,-15.39,2025-09-01,781.5,724.08,1015.0,7.35,4.07,51.84,DONE,,0.23,7,6,0.86,0.67,2.75,0.74,-7.74,6.83,True,False,-11.84,0,,0.0,stopped,-1.0,0.027,0.2219,-0.1074,57,-0.86,invalidated,56.0,2386,2380,2380,2364,first_bullish,,,HIRECT LIMITED,4190.0,False,2025,True
BALAMINES.NS,2025-06-25,1372.1,1945.0,2025-07-07,0.4175,14,2025-07-25,1711.6,-0.585,2025-07-25,968.1,-43.44,2025-09-01,1474.2,1364.59,1945.0,7.44,4.3,37.82,DONE,,0.42,0,0,,,,,,49.8,False,False,,0,,0.0,voided,-0.57,-0.0851,0.0582,-0.265,19,,,,2386,2362,-1,-1,first_bullish,2025-09-26,,BALAJI AMINES LIMITED,7212.5,False,2025,True
CHENNPETRO.NS,2025-06-23,603.1,782.0,2025-07-07,0.2966,19,2025-08-01,675.0,-0.277,2025-08-18,620.85,-8.02,2025-09-01,687.05,610.66,782.0,11.12,1.24,20.39,DONE,,3.41,11,7,0.64,0.47,1.0,0.27,-3.83,268.92,True,True,1.79,0,,0.0,target,1.24,0.1185,0.6054,-0.004,19,1.24,target,19.0,2386,2367,2367,2338,rail_reclaim,,,CHENNAI PETROLEUM CORP LT,20441.1,False,2025,True
ASTRAZEN.NS,2025-06-02,7800.0,10691.0,2025-06-13,0.3706,43,2025-08-13,8619.0,-0.157,2025-08-26,7955.0,-7.7,2025-09-01,8764.0,7797.23,10691.0,11.03,1.99,315.54,DONE,,0.98,9,7,0.78,11.87,28.09,0.16,-3.04,3.73,True,True,1.68,0,,0.0,time,0.24,0.0408,0.1239,-0.0131,60,0.24,time,60.0,2386,2375,2375,2323,rail_reclaim,,,ASTRAZENECA PHARMA IND LT,16477.5,False,2025,True
GALLANTT.NS,2025-07-30,575.65,802.25,2025-08-05,0.3936,7,2025-08-14,699.2,-1.408,2025-08-14,515.1,-26.33,2025-09-01,589.1,498.44,802.25,15.39,2.35,33.33,DONE,,0.27,0,0,,,,,,5.21,False,False,,0,,0.0,voided,-0.57,0.0978,0.28,-0.1277,36,,,,2386,2376,-1,-1,first_bullish,2025-10-23,,GALLANTT ISPAT LIMITED,13155.8,False,2025,True
HAPPSTMNDS.NS,2025-06-17,587.9,668.8,2025-06-18,0.1376,38,2025-08-11,589.0,-0.185,2025-08-11,486.6,-17.39,2025-09-02,570.4,553.16,668.8,3.02,5.71,13.69,DONE,,0.59,0,0,,,,,,71.69,False,False,,0,,0.0,voided,-0.52,-0.1346,0.0228,-0.1469,4,,,,1226,1212,-1,-1,first_bullish,2025-09-08,,HAPPIEST MINDS TECHNO LTD,4682.2,False,2025,True
ITI.NS,2025-05-27,255.55,368.7,2025-05-29,0.4428,42,2025-07-28,301.1,-0.155,2025-08-29,280.05,-6.99,2025-09-02,301.9,275.49,368.7,8.75,2.53,9.11,DONE,,5.14,23,16,0.7,44.88,138.33,0.68,-5.2,3.83,True,True,0.27,1,2025-08-07,-0.82,target,2.53,0.0768,0.235,-0.0227,25,2.53,target,25.0,2387,2363,2363,2319,rail_reclaim,,"[Setup(symbol='ITI.NS', pole_date='2025-05-27', pole_low=255.55, pole_high=368.7, pole_high_date='2025-05-29', pole_gain=0.4428, flag_bars=42, flag_end_date='2025-07-28', rail=301.1, rail_slope_pct=-0.155, sweep_date='2025-08-29', sweep_low=280.05, sweep_below_pct=-6.99, entry_date='2025-08-07', entry=320.3, stop=274.86, target=368.7, risk_pct=14.19, reward_R=1.07, atr=10.39, status='DONE', bars_since_entry=nan, vol_x20=44.88, sweep_bars=23, sweep_red=16, sweep_red_frac=0.7, sweep_vol_x20=44.88, sweep_vol_vs_drift=138.33, sweep_close_pos=0.68, sweep_leg_pct=-5.2, turnover_cr=3.83, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.82, ret_horizon=0.0092, mfe=0.1641, mae=-0.1257, bars_held=13, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2371, sweep_idx=2363, flag_end_idx=-1, pole_idx=-1)]",ITI LTD,24172.4,False,2025,True
RAYMOND.NS,2025-06-30,575.0,783.9,2025-07-02,0.3633,23,2025-08-04,654.0,-0.251,2025-08-04,320.0,-51.07,2025-09-02,610.0,559.88,783.9,8.22,3.47,19.15,DONE,,0.59,0,0,,,,,,605.7,False,False,,0,,0.0,voided,-0.69,-0.051,0.0528,-0.2533,19,,,,2387,2368,-1,-1,first_bullish,2025-09-29,,RAYMOND LTD,8011.8,False,2025,True
KERNEX.NS,2025-05-23,694.15,1268.3,2025-06-06,0.8271,33,2025-07-23,1081.1,-0.334,2025-08-28,975.0,-9.81,2025-09-03,1125.4,945.3,1268.3,16.0,0.79,59.4,DONE,,1.59,25,13,0.52,4.74,15.67,0.26,-5.0,36.51,True,True,4.1,1,2025-07-31,-0.69,target,0.79,0.1695,0.2662,-0.1044,28,0.79,target,28.0,2388,2360,2360,2317,rail_reclaim,,"[Setup(symbol='KERNEX.NS', pole_date='2025-05-23', pole_low=694.15, pole_high=1268.3, pole_high_date='2025-06-06', pole_gain=0.8271, flag_bars=33, flag_end_date='2025-07-23', rail=1081.1, rail_slope_pct=-0.334, sweep_date='2025-08-28', sweep_low=975.0, sweep_below_pct=-9.81, entry_date='2025-07-31', entry=1093.2, stop=951.07, target=1268.3, risk_pct=13.0, reward_R=1.23, atr=47.86, status='DONE', bars_since_entry=nan, vol_x20=0.86, sweep_bars=25, sweep_red=13, sweep_red_frac=0.52, sweep_vol_x20=4.74, sweep_vol_vs_drift=15.67, sweep_close_pos=0.26, sweep_leg_pct=-5.0, turnover_cr=36.51, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.69, ret_horizon=0.0166, mfe=0.3035, mae=-0.1081, bars_held=18, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2366, sweep_idx=2360, flag_end_idx=-1, pole_idx=-1)]",KERNEX MICROSYS(I) LTD,2858.0,False,2025,True
