feature,bucket,label,train_n,train_win,train_avgR,train_medR,train_med30,train_avg30,train_target,train_stopped,train_payoff,test_n,test_win,test_avgR,test_medR,test_med30,test_avg30,test_target,test_stopped,test_payoff,edge_train,edge_test
sweep_below_pct,"(-100.0, -12.0]",how deep the shakeout undercut the rail,124,0.403,0.281,-1.0,0.033,0.0428,0.315,0.548,2.22,104,0.462,0.334,-1.0,0.0599,0.094,0.356,0.529,1.9,-0.003,0.176
turnover_cr,"(100.0, 1000000000.0]",20-day average traded value (Rs cr),106,0.349,0.266,-1.0,0.0001,0.0165,0.311,0.642,2.64,102,0.431,0.32,-1.0,0.0418,0.0737,0.382,0.549,2.08,-0.018,0.162
reward_R,"(1.0, 1.5]",reward to pole high at entry,61,0.541,0.191,1.03,0.0141,0.0288,0.508,0.426,1.22,76,0.579,0.318,1.08,0.011,0.0683,0.579,0.408,1.28,-0.093,0.16
risk_pct,"(10, 12]",stop distance as % of entry,65,0.538,0.527,0.65,0.0347,0.0516,0.462,0.415,1.91,77,0.429,0.272,-1.0,0.0315,0.056,0.377,0.558,1.97,0.243,0.114
reward_R,"(0.0, 1.0]",reward to pole high at entry,39,0.692,0.184,0.5,0.0752,0.0662,0.692,0.282,0.73,35,0.714,0.265,0.53,0.0579,0.0795,0.686,0.229,0.83,-0.1,0.107
pole_gain,"(0.4, 0.5]",pole size (low -> high),124,0.468,0.717,-0.57,0.0466,0.0452,0.419,0.492,2.75,136,0.382,0.257,-1.0,0.0309,0.0486,0.331,0.603,2.3,0.433,0.099
turnover_cr,"(5.0, 20.0]",20-day average traded value (Rs cr),155,0.374,0.236,-1.0,0.0162,0.023,0.323,0.587,2.33,197,0.371,0.242,-1.0,-0.0062,0.0254,0.32,0.624,2.36,-0.048,0.084
turnover_cr,"(20.0, 100.0]",20-day average traded value (Rs cr),213,0.418,0.427,-1.0,0.0216,0.0397,0.362,0.563,2.43,222,0.378,0.23,-1.0,0.0258,0.0588,0.32,0.608,2.26,0.143,0.072
reward_R,"(3.0, 5.0]",reward to pole high at entry,177,0.333,0.334,-1.0,0.0205,0.0252,0.232,0.638,3.03,211,0.284,0.203,-1.0,0.0145,0.0293,0.213,0.706,3.24,0.05,0.045
flag_bars,"(0, 8]",drift length in bars,124,0.395,0.127,-1.0,0.0073,0.0325,0.395,0.565,1.87,127,0.425,0.19,-1.0,0.014,0.0456,0.402,0.567,1.8,-0.157,0.032
rail_slope_pct,"(-0.2, 0.0]",slope of the drift floor (%/bar),155,0.342,0.281,-1.0,0.0114,0.0187,0.335,0.619,2.79,181,0.37,0.185,-1.0,0.0323,0.0562,0.315,0.619,2.21,-0.003,0.027
risk_pct,"(5, 8]",stop distance as % of entry,215,0.307,0.136,-1.0,0.0047,0.014,0.233,0.684,2.7,288,0.323,0.178,-1.0,0.0054,0.0324,0.278,0.667,2.65,-0.148,0.02
reward_R,"(5.0, 999.0]",reward to pole high at entry,121,0.264,0.486,-1.0,0.032,0.0296,0.149,0.727,4.63,92,0.207,0.168,-1.0,0.0133,0.0519,0.13,0.772,4.67,0.202,0.01
sweep_below_pct,"(-8.0, -5.0]",how deep the shakeout undercut the rail,202,0.351,0.139,-1.0,0.0096,0.025,0.307,0.624,2.25,263,0.357,0.167,-1.0,0.0088,0.037,0.316,0.635,2.27,-0.145,0.009
